state	joint	prior	likelihood	rootHeight	age(root)	treeLength	ebds.birthRate1	ebds.birthRate2	ebds.birthRate3	ebds.deathRate1	ebds.deathRate2	ebds.deathRate3	ebds.samplingRate1	ebds.samplingRate2	ebds.samplingRate3	ebds.origin	birthRateAtPresent	birthRateDelta1	birthRateDelta2	deathRateAtPresent	deathRateDelta1	deathRateDelta2	samplingRateAtPresent	samplingRateDelta1	samplingRateDelta2	birthRateDeltaPrior.globalScale	birthRateDeltaPrior.localScale1	birthRateDeltaPrior.localScale2	samplingRateDeltaPrior.globalScale	samplingRateDeltaPrior.localScale1	samplingRateDeltaPrior.localScale2	effectiveReproductiveNumber1	effectiveReproductiveNumber2	effectiveReproductiveNumber3	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	birthDeathLikelihood
66090000	-48050.32622350305	3945.074238453466	-51995.40046195652	0.3094120625578087	2020.687855697005	64.68351171131476	33.986972289619196	62.51619589797295	60.24076516588562	25.11996585991973	25.11996585991973	25.11996585991973	1.4297566761652338	4.427199337019242	2.3351821893749807	0.3339214447127982	3.5259772832361875	0.6094483743042247	-0.03707637217251075	3.223662982519446	0.0	0.0	0.357504273265743	1.130262907033063	-0.6396772667935136	1.3007903468035673	1.0	1.0	1.1722152736889577	1.0	1.0	1.2801253287459378	2.115810280996077	2.1941518966761913	8.553517769990043	0.29719501246858027	0.17894380913433694	0.18796474467822344	0.33589643371885747	5.397238967004439E-4	5.39723896700444E-4	-51995.40046195652	0.0	3966.9147917605364
66100000	-48091.24211969426	3922.2827249283996	-52013.52484462266	0.30377162005685904	2020.6934961395061	65.5837154524354	33.93762788718948	61.031505429545774	71.81525043958843	25.11996585991973	25.11996585991973	25.11996585991973	1.5568138369755808	4.526771485981927	1.3321481688235353	0.3484222807559804	3.5245243660020296	0.5868658472916972	0.16270664187198827	3.223662982519446	0.0	0.0	0.44264132049822197	1.0673676686567846	-1.2232161853677737	0.3995484633489118	1.0	1.0	0.8461652160580644	1.0	1.0	1.2721785865007984	2.058624688358253	2.7149153508696084	8.013593788707405	0.2924267949034693	0.17624844230874764	0.19018540936443445	0.3411393534233467	5.318676740336288E-4	5.318676740336289E-4	-52013.52484462266	0.0	3942.967589383314
66110000	-48101.28659016016	3918.757806481341	-52020.044396641504	0.30367672720015537	2020.6935910323627	66.62093810744842	33.10067744017041	62.1032764767517	83.6670698829926	25.468978124290942	25.468978124290942	25.468978124290942	1.4388057003021144	4.20731886786822	2.8612643466677175	0.31351473187758405	3.499553748643987	0.6292450002039675	0.29804672092274365	3.2374611674283966	0.0	0.0	0.36381339467615603	1.0730122016566392	-0.3855619899348315	0.5848457022043589	1.0	1.0	0.8461652160580644	1.0	1.0	1.2301524962422656	2.092689545907973	2.9532775785014813	8.013593788707405	0.2924267949034693	0.17624844230874764	0.18968305128914134	0.34164171149863987	4.980960418330965E-4	4.980960418330954E-4	-52020.044396641504	0.0	3937.9072972097074
66120000	-48091.47510709622	3936.973549307123	-52028.44865640334	0.3036320973148554	2020.693635662248	66.40746994273178	29.979876855245823	61.83984118896012	78.24921898223188	25.468978124290942	25.468978124290942	25.468978124290942	1.7637571259359317	4.315959282735276	2.440198469991996	0.3174961245454318	3.4005263851025007	0.7240214510776396	0.235351012132572	3.2374611674283966	0.0	0.0	0.5674462643955382	0.8948733489278782	-0.5702402371655833	1.7509029961662366	1.0	1.0	0.8293329351311463	1.0	1.0	1.1008764481340914	2.0762118900532656	2.803709336170844	7.186726741621622	0.29737617443513303	0.18135524617307158	0.18968305128914134	0.3315855281026521	4.964071807488244E-4	4.964071807488241E-4	-52028.44865640334	0.0	3960.6363600697687
66130000	-48090.397861535246	3921.1234490986567	-52011.5213106339	0.303634077360564	2020.6936336822023	66.90254008791487	33.51919943650805	62.77716539700322	64.5620162487713	26.6979633202646	26.6979633202646	26.6979633202646	1.4650070760830047	4.448817707615063	3.7860761785451156	0.32304402051365777	3.5121183921696075	0.6274730068550348	0.02803485506851955	3.2845872823568234	0.0	0.0	0.381860072548154	1.1107783046478243	-0.1613082034952902	0.23167839070545648	1.0	1.0	0.9092471232795342	1.0	1.0	1.1901869357095616	2.015526591361432	2.1178957024803817	8.578753338930829	0.2956785475809253	0.17841865338378554	0.19138067814334905	0.33452212089193817	5.005399780305446E-4	5.005399780305439E-4	-52011.5213106339	0.0	3941.084542875218
66140000	-48103.86473078282	3911.7732203802243	-52015.637951163044	0.298434701109604	2020.6988330584534	67.25910037292941	30.8889498958463	63.59500863613817	65.2214128128819	26.176773986491913	26.176773986491913	26.176773986491913	1.6349549778278352	4.132979867534586	2.085864042909596	0.3224586900353623	3.430398511397851	0.7221364753045996	0.025252845688464618	3.2648725285380515	0.0	0.0	0.49161526747334355	0.9273833968937916	-0.6838154858907427	1.0799894865996809	1.0	1.0	0.8604688097733781	1.0	1.0	1.110644718833352	2.098169748999459	2.3076902002223685	7.499494152590103	0.29730601964145525	0.17841865338378554	0.18794029135023818	0.3363350356245191	4.8682451452933473E-4	4.868245145293345E-4	-52015.637951163044	0.0	3933.165505099275
66150000	-48109.8661607504	3909.193259705011	-52019.05942045541	0.31543233184716124	2020.6818354277157	68.0595381915995	32.546370423506495	61.09232459574421	63.71292164354583	25.89784099204955	25.89784099204955	25.89784099204955	1.3832739824203937	4.2308263754044635	2.7589723718194037	0.33123891071575756	3.4826658547107545	0.6297203832116449	0.042001155631156105	3.2541596058505795	0.0	0.0	0.3244531403796684	1.1179441942138304	-0.427539053247052	0.47864760673923423	1.0	1.0	0.8604688097733781	1.0	1.0	1.1930000094924218	2.027714131881524	2.2233079733797716	7.7221507548100465	0.2961336486264564	0.17959102439878438	0.18794029135023818	0.3363350356245191	5.184401723432339E-4	5.184401723432324E-4	-52019.05942045541	0.0	3927.552508653859
66160000	-48099.30961940347	3913.3133963047735	-52012.62301570825	0.33054329373630237	2020.6667244658265	67.30163701703724	31.88998801218125	59.531083071502124	52.09705631563535	25.43851643913075	25.43851643913075	25.43851643913075	1.5749236528140187	4.367624968250784	4.327021792039466	0.3362648666491556	3.4622921051103637	0.6242064755985216	-0.13339013420537646	3.2362644206995688	0.0	0.0	0.4542067966988768	1.0200125791406942	-0.00933987831658499	0.4934428506295151	1.0	1.0	0.5365877673866934	1.0	1.0	1.1805230249697312	1.9972757378370072	1.750247414007107	8.284269531889827	0.2961336486264564	0.178561603510349	0.18794029135023818	0.3373644565129545	5.447524536808543E-4	5.447524536808539E-4	-52012.62301570825	0.0	3932.919251798151
66170000	-48091.89649607532	3899.11412047955	-51991.01061655487	0.3016035546652954	2020.6956642048976	67.52661646129962	29.59089797771306	61.10103956167209	73.28205201770058	22.801885733896388	22.801885733896388	22.801885733896388	1.5681851455262692	4.665056734421464	6.824596483255031	0.33959846260520915	3.3874668132890267	0.7250620668464374	0.18178684226330294	3.1268432401673425	0.0	0.0	0.4499189924616145	1.0901810034832389	0.3804332200457209	0.7413618751866764	1.0	1.0	0.6860406304121711	1.0	1.0	1.2142311002754904	2.2245300740025935	2.473532006958153	8.44314971311409	0.2961336486264564	0.1811374904572962	0.19043152185482762	0.33229733906141784	5.137753436975003E-4	5.13775343697501E-4	-51991.01061655487	0.0	3921.0259810086513
66180000	-48111.77153546116	3894.1481140636597	-52005.91964952482	0.301439625286288	2020.6958281342766	67.60459269721719	28.639094571650062	59.16125633510676	66.1466438425957	23.362898011979293	23.362898011979293	23.362898011979293	1.6286087030036713	4.436371634005628	6.227345134471402	0.3021437815955125	3.3547727274743444	0.7254941463683737	0.11160727986948726	3.1511492089973685	0.0	0.0	0.48772609389248645	1.0021107489137897	0.3391132570292985	1.4431083869458972	1.0	1.0	1.183116071081396	1.0	1.0	1.1459530991174809	2.1281586562707226	2.2354207606614374	7.759137760208407	0.2910511127981296	0.1811374904572962	0.19043152185482762	0.33737987488974464	5.262212354291649E-4	5.262212354291642E-4	-52005.91964952482	0.0	3918.0819392249414
