# BEAST v1.10.5 Prerelease #23570d1																			
# Generated Fri Jun 30 14:21:54 CEST 2023 [seed=1688127711194]																			
# -beagle_gpu -beagle_order 1 -overwrite -load_state checkpoint.state -save_every 10000 -save_state resumed.state -force_resume b.1.1.7.xml																			
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.doublingTime	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
18500000	-54469.10724	-2485.384961	-51983.72228	0.297646796	2020.699621	62.77746153	1397.188668	0.018298822	6.772182987	0.289137017	0.17745284	0.191278051	0.342132092	0.020283233	5.61E-04	5.61E-04	-51983.72228	0	-2476.194379
19000000	-54548.77999	-2600.337227	-51948.44277	0.320687875	2020.67658	64.85479391	844.1255005	0.021148439	7.447034096	0.299787118	0.176889677	0.192308089	0.331015115	0.043261	5.32E-04	5.32E-04	-51948.44277	0	-2591.375656
19500000	-54543.52179	-2580.020965	-51963.50082	0.337287632	2020.65998	64.71028212	1039.744687	0.020049778	6.439010751	0.297133827	0.178628699	0.191685898	0.332551576	0.0705158	5.14E-04	5.14E-04	-51963.50082	0	-2571.088838
20000000	-54503.4456	-2516.067715	-51987.37789	0.307143986	2020.690124	61.76289248	905.2684901	0.020020407	9.372740113	0.294355682	0.179987361	0.193307066	0.332349891	0.054760537	5.30E-04	5.30E-04	-51987.37789	0	-2506.647945
20500000	-54589.82549	-2620.513593	-51969.31189	0.359971562	2020.637296	65.32783212	661.097289	0.022218235	8.06070242	0.290880525	0.179174415	0.189076178	0.340868882	0.05859423	5.24E-04	5.24E-04	-51969.31189	0	-2611.607221
21000000	-54543.20504	-2591.581871	-51951.62317	0.317968351	2020.679299	63.85087259	824.8663583	0.020926855	8.841821483	0.293888659	0.179866098	0.189506763	0.336738481	0.041775881	5.30E-04	5.30E-04	-51951.62317	0	-2582.360232
21500000	-54496.53411	-2533.817098	-51962.71702	0.318690163	2020.678578	62.83755685	1315.31351	0.018920531	7.481783837	0.293327295	0.177936337	0.193963931	0.334772437	0.007627328	5.42E-04	5.42E-04	-51962.71702	0	-2524.540226
22000000	-54538.29662	-2567.569445	-51970.72717	0.32377771	2020.67349	63.75813759	745.7774378	0.021146562	9.194310384	0.298784272	0.18046162	0.188414326	0.332339782	0.111251146	5.32E-04	5.32E-04	-51970.72717	0	-2558.232639
22500000	-54590.47584	-2602.910451	-51987.56539	0.308955976	2020.688312	65.01338341	1104.967849	0.019820829	8.352452836	0.291537883	0.182169262	0.192611331	0.333681523	0.039591418	5.13E-04	5.13E-04	-51987.56539	0	-2593.565863
23000000	-54498.72325	-2549.593646	-51949.1296	0.319974983	2020.677293	62.55609973	873.4353887	0.020519778	8.11666172	0.290584181	0.182256886	0.192167679	0.334991254	0.016457586	5.65E-04	5.65E-04	-51949.1296	0	-2540.486673
