# BEAST v${version}${extra_release_tag}
# Generated Thu Jul 30 22:17:20 CEST 2026 [seed=1785442627552]
# -beagle_gpu -beagle_order 1 -overwrite EBOV_DRC_18-20.xml
state	HZ.coefficients1	HZ.coefficients2	HZ.coefficients3	HZ.coefIndicators1	HZ.coefIndicators2	HZ.coefIndicators3	HZ.coefficientsTimesIndicators1	HZ.coefficientsTimesIndicators2	HZ.coefficientsTimesIndicators3
4050000	-0.18581661199374142	-3.750913720025799	-1.1504919949984385	0.0	0.0	1.0	-0.0	-0.0	-1.1504919949984385
4100000	2.1079839122210142	0.528191042941175	-1.0242112477142917	0.0	1.0	1.0	0.0	0.528191042941175	-1.0242112477142917
4150000	3.6264839982087897	0.568276071877795	-1.0602877587056556	0.0	1.0	1.0	0.0	0.568276071877795	-1.0602877587056556
4200000	0.1380772502253511	0.3117193933731659	-1.0610549313315536	0.0	1.0	1.0	0.0	0.3117193933731659	-1.0610549313315536
4250000	-0.2698210777271879	0.5353852906591028	-1.0071080368666623	0.0	1.0	1.0	-0.0	0.5353852906591028	-1.0071080368666623
4300000	0.8580979850192508	0.47898064105556337	-1.005399548014451	0.0	1.0	1.0	0.0	0.47898064105556337	-1.005399548014451
4350000	1.7648998389983988	0.3578056552862999	-1.1662352846000021	0.0	1.0	1.0	0.0	0.3578056552862999	-1.1662352846000021
4400000	-1.523776675504385	0.35472176459910193	-1.0302816309958511	0.0	1.0	1.0	-0.0	0.35472176459910193	-1.0302816309958511
4450000	1.3285583212460403	0.20491131231117884	-1.171610445753137	0.0	1.0	1.0	0.0	0.20491131231117884	-1.171610445753137
4500000	-0.8204474625681343	0.39119914341081924	-1.0802696402576673	0.0	1.0	1.0	-0.0	0.39119914341081924	-1.0802696402576673
4550000	-2.0817690669374183	0.4130610179063211	-1.0761672077695414	0.0	1.0	1.0	-0.0	0.4130610179063211	-1.0761672077695414
4600000	0.5610148021003847	0.4591645482140477	-1.1806099072726466	0.0	1.0	1.0	0.0	0.4591645482140477	-1.1806099072726466
4650000	-0.5576129240323927	0.14879144988126333	-1.1874080762292736	0.0	1.0	1.0	-0.0	0.14879144988126333	-1.1874080762292736
4700000	-2.1056880638224644	0.2856065958127877	-1.240939771457676	0.0	1.0	1.0	-0.0	0.2856065958127877	-1.240939771457676
4750000	1.1803159071711826	0.40803408288491433	-1.0356171071298745	0.0	1.0	1.0	0.0	0.40803408288491433	-1.0356171071298745
4800000	-3.6040695510360723	0.2973335452252073	-1.169535441883568	0.0	1.0	1.0	-0.0	0.2973335452252073	-1.169535441883568
4850000	-0.7387620922748557	0.2634512229866785	-1.1242065037415645	0.0	1.0	1.0	-0.0	0.2634512229866785	-1.1242065037415645
4900000	0.4799349172180011	0.5222110813574977	-1.0408816683542046	0.0	1.0	1.0	0.0	0.5222110813574977	-1.0408816683542046
4950000	0.568169084820719	0.1773803702257356	-1.0689267270127571	0.0	1.0	1.0	0.0	0.1773803702257356	-1.0689267270127571
5000000	-0.7097955520958981	0.29827955192785033	-1.1543811543124018	0.0	1.0	1.0	-0.0	0.29827955192785033	-1.1543811543124018
5050000	0.12202708847757154	0.45849225012084643	-0.9372551695418594	1.0	1.0	1.0	0.12202708847757154	0.45849225012084643	-0.9372551695418594
5100000	0.8354295809617064	0.3795532218758246	-1.0134270897816555	0.0	1.0	1.0	0.0	0.3795532218758246	-1.0134270897816555
5150000	0.055708188879984744	0.4829908014018073	-1.125548204347966	0.0	1.0	1.0	0.0	0.4829908014018073	-1.125548204347966
5200000	4.1229629385800175	0.6132134522361674	-0.9408949551826538	0.0	1.0	1.0	0.0	0.6132134522361674	-0.9408949551826538
5250000	2.3744360949125265	0.46556041179659985	-1.0326325368466676	0.0	1.0	1.0	0.0	0.46556041179659985	-1.0326325368466676
5300000	0.7012112958832954	0.31232927779341535	-1.1184312801399934	0.0	0.0	1.0	0.0	0.0	-1.1184312801399934
5350000	-0.6704777873736113	0.4684415562445269	-1.0652945516257284	0.0	1.0	1.0	-0.0	0.4684415562445269	-1.0652945516257284
5400000	0.5337718503945753	0.30472282913831084	-1.1275805653742288	0.0	1.0	1.0	0.0	0.30472282913831084	-1.1275805653742288
