taxa	country	location	latitude	longitude	collection_date
EBOV|DML12268|KT357822|SLE|WesternUrban|2015-03-10	SLE	WesternUrban	8.442634831	-13.24638423	10/03/2015
EBOV|DML12458|KT357823|SLE|WesternUrban|2015-03-28	SLE	WesternUrban	8.438248578	-13.29995309	28/03/2015
EBOV|DML12485|KT357824|SLE|WesternUrban|2015-03-31	SLE	WesternUrban	8.47651023	-13.23129212	31/03/2015
EBOV|DML13828||SLE|WesternUrban|2015-06-22	SLE	WesternUrban	8.510463062	-13.33616405	22/06/2015
EBOV|DML14077|KT357860|SLE|WesternUrban|2015-06-30	SLE	WesternUrban	8.518722916	-13.19901514	30/06/2015
EBOV|DML14163|KT357858|SLE|WesternUrban|2015-07-03	SLE	WesternUrban	8.437521819	-13.23263786	03/07/2015
EBOV|DML14366|KT357859|SLE|WesternUrban|2015-07-11	SLE	WesternUrban	8.545728687	-13.19479324	11/07/2015
EBOV|DML24502|KT357825|SLE|Kono|2015-01-13	SLE	Kono	8.701642313	-10.91189779	13/01/2015
EBOV|DML24504|KT357826|SLE|Kono|2015-01-13	SLE	Kono	8.639493897	-10.96784839	13/01/2015
EBOV|DML24506|KT357827|SLE|Kono|2015-01-14	SLE	Kono	8.603557809	-10.91834984	14/01/2015
EBOV|DML24511|KT357828|SLE|Kono|2015-01-14	SLE	Kono	8.68980129	-10.97661282	14/01/2015
EBOV|DML24552|KT357829|SLE|Kono|2015-01-17	SLE	Kono	8.579785447	-10.96932944	17/01/2015
EBOV|DML24553|KT357830|SLE|Kono|2015-01-17	SLE	Kono	8.592870733	-11.04630803	17/01/2015
EBOV|DML24573|KT357831|SLE|Kono|2015-01-18	SLE	Kono	8.640743155	-10.9802434	18/01/2015
EBOV|DML24581|KT357832|SLE|Kono|2015-01-19	SLE	Kono	8.647683071	-10.93929649	19/01/2015
EBOV|DML24592|KT357833|SLE|Kono|2015-01-20	SLE	Kono	8.57895874	-11.02379761	20/01/2015
EBOV|DML24601|KT357834|SLE|Kono|2015-01-20	SLE	Kono	8.630497073	-10.92207202	20/01/2015
EBOV|DML24604|KT357835|SLE|Kono|2015-01-20	SLE	Kono	8.671937363	-10.92745578	20/01/2015
EBOV|DML24605|KT357836|SLE|Kono|2015-01-20	SLE	Kono	8.64071755	-10.97192569	20/01/2015
EBOV|DML24606|KT357837|SLE|Kono|2015-01-20	SLE	Kono	8.60322979	-10.96377493	20/01/2015
EBOV|DML24608|KT357838|SLE|Kono|2015-01-20	SLE	Kono	8.635255263	-10.92820955	20/01/2015
EBOV|DML24611|KT357839|SLE|Kono|2015-01-21	SLE	Kono	8.719430243	-10.93360166	21/01/2015
EBOV|DML24620|KT357840|SLE|Kono|2015-01-21	SLE	Kono	8.651995963	-10.93197652	21/01/2015
EBOV|DML24669|KT357841|SLE|Kono|2015-01-25	SLE	Kono	8.677649239	-11.00238658	25/01/2015
EBOV|DML24677|KT357842|SLE|Kono|2015-01-25	SLE	Kono	8.699621905	-10.91532029	25/01/2015
EBOV|DML24683|KT357843|SLE|Kono|2015-01-26	SLE	Kono	8.654756576	-10.99184462	26/01/2015
EBOV|DML24706|KT357844|SLE|Kono|2015-01-28	SLE	Kono	8.710397793	-10.90984723	28/01/2015
EBOV|DML24708|KT357845|SLE|Kono|2015-01-28	SLE	Kono	8.627400358	-10.94134738	28/01/2015
EBOV|DML24720|KT357846|SLE|Kono|2015-01-29	SLE	Kono	8.71859958	-10.97585034	29/01/2015
EBOV|DML24758|KT357847|SLE|Kono|2015-01-30	SLE	Kono	8.663118327	-10.98021745	30/01/2015
EBOV|DML24818|KT357848|SLE|Kono|2015-02-03	SLE	Kono	8.654106808	-11.00412467	03/02/2015
EBOV|DML24825|KT357849|SLE|Tonkolili|2015-02-04	SLE	Tonkolili	8.464347489	-12.28157071	04/02/2015
EBOV|DML24853|KT357850|SLE|Kono|2015-02-06	SLE	Kono	8.574117223	-10.91109002	06/02/2015
EBOV|DML24854|KT357851|SLE|Kono|2015-02-06	SLE	Kono	8.612062489	-11.0171005	06/02/2015
EBOV|DML25083|KT357852|SLE|Kono|2015-02-18	SLE	Kono	8.599409281	-10.96277918	18/02/2015
EBOV|DML25103|KT357853|SLE|Kono|2015-02-19	SLE	Kono	8.573270698	-10.97828941	19/02/2015
EBOV|DML25123|KT357854|SLE|Kenema|2015-02-18	SLE	Kenema	7.812183282	-11.14155434	18/02/2015
EBOV|DML25180|KT357855|SLE|Kono|2015-02-23	SLE	Kono	8.62144892	-10.94417588	23/02/2015
EBOV|DML25344|KT357856|SLE|Kono|2015-03-06	SLE	Kono	8.665476859	-11.02209534	06/03/2015
EBOV|DML25411|KT357857|SLE|Kono|2015-03-10	SLE	Kono	8.581881386	-11.04670954	10/03/2015
EBOV|EM_COY_2015_023888||GIN|Dubreka|2015-09-15	GIN	Dubreka	10.12137781	-13.56496413	15/09/2015
EBOV|CON-10193||GIN|Conakry|2015-08-03	GIN	Conakry	9.686412736	-13.55442466	03/08/2015
EBOV|CON-10512||GIN|Conakry|2015-08-11	GIN	Conakry	9.607405379	-13.63855657	11/08/2015
EBOV|CON-10590||GIN|Conakry|2015-08-13	GIN	Conakry	9.605341934	-13.60923794	13/08/2015
EBOV|CON-10786||GIN|Conakry|2015-08-17	GIN	Conakry	9.692241639	-13.56229797	17/08/2015
EBOV|CON-11010||GIN|Conakry|2015-08-23	GIN	Conakry	9.592463664	-13.6434405	23/08/2015
EBOV|CON-8559||GIN|Conakry|2015-06-21	GIN	Conakry	9.571135831	-13.5484324	21/06/2015
EBOV|CON-8811||GIN|Dubreka|2015-06-27	GIN	Dubreka	10.04662267	-13.64165636	27/06/2015
EBOV|CON12930||GIN|Conakry|2015-10-13	GIN	Conakry	9.554719748	-13.58720849	13/10/2015
EBOV|EM_COY_2015_013576||GIN|Coyah|2015-03-09	GIN	Coyah	9.760912248	-13.32572289	09/03/2015
EBOV|EM_COY_2015_013671||GIN|Coyah|2015-03-12	GIN	Coyah	9.715631939	-13.35166697	12/03/2015
EBOV|EM_COY_2015_013731||GIN|Coyah|2015-03-14	GIN	Coyah	9.678245855	-13.34995985	14/03/2015
EBOV|EM_COY_2015_013795||GIN|Forecariah|2015-03-16	GIN	Forecariah	9.430004523	-13.01587032	16/03/2015
EBOV|EM_COY_2015_013857||GIN|Forecariah|2015-03-18	GIN	Forecariah	9.402919134	-13.06209557	18/03/2015
EBOV|EM_COY_2015_013962||GIN|Forecariah|2015-03-22	GIN	Forecariah	9.455990388	-13.05645063	22/03/2015
EBOV|EM_COY_2015_014060||GIN|Dubreka|2015-03-25	GIN	Dubreka	10.11416197	-13.67136171	25/03/2015
EBOV|EM_COY_2015_014098||GIN|Conakry|2015-03-26	GIN	Conakry	9.630413701	-13.51581719	26/03/2015
EBOV|EM_COY_2015_014100||GIN|Conakry|2015-03-26	GIN	Conakry	9.556835037	-13.59499068	26/03/2015
EBOV|EM_COY_2015_014102||GIN|Conakry|2015-03-26	GIN	Conakry	9.689779182	-13.62318079	26/03/2015
EBOV|EM_COY_2015_014261||GIN|Forecariah|2015-04-02	GIN	Forecariah	9.456469017	-13.12681456	02/04/2015
EBOV|EM_COY_2015_014370||GIN|Forecariah|2015-04-07	GIN	Forecariah	9.505215341	-13.14090678	07/04/2015
EBOV|EM_COY_2015_015802||GIN|Coyah|2015-04-14	GIN	Coyah	9.781357849	-13.37469227	14/04/2015
EBOV|EM_COY_2015_015815||GIN|Fria|2015-04-14	GIN	Fria	10.36860777	-13.50393551	14/04/2015
EBOV|EM_COY_2015_015972||GIN|Forecariah|2015-04-20	GIN	Forecariah	9.495473953	-13.07352842	20/04/2015
EBOV|EM_COY_2015_015980||GIN|Forecariah|2015-04-20	GIN	Forecariah	9.450446011	-13.04474359	20/04/2015
EBOV|EM_COY_2015_015982||GIN|Forecariah|2015-04-20	GIN	Forecariah	9.453509116	-13.02702508	20/04/2015
EBOV|EM_COY_2015_015986||GIN|Fria|2015-04-20	GIN	Fria	10.38619227	-13.6317817	20/04/2015
EBOV|EM_COY_2015_016236||GIN|Forecariah|2015-05-03	GIN	Forecariah	9.476437469	-13.05881096	03/05/2015
EBOV|EM_COY_2015_016238||GIN|Forecariah|2015-05-03	GIN	Forecariah	9.456552293	-13.0804851	03/05/2015
EBOV|EM_COY_2015_016263||GIN|Forecariah|2015-05-04	GIN	Forecariah	9.384678596	-13.09271578	04/05/2015
EBOV|EM_COY_2015_016267||GIN|Dubreka|2015-05-04	GIN	Dubreka	10.10150448	-13.59263641	04/05/2015
EBOV|EM_COY_2015_016278||GIN|Forecariah|2015-05-05	GIN	Forecariah	9.364687558	-13.07058231	05/05/2015
EBOV|EM_COY_2015_016293||GIN|Forecariah|2015-05-06	GIN	Forecariah	9.369961659	-13.03126164	06/05/2015
EBOV|EM_COY_2015_016414||GIN|Dubreka|2015-05-11	GIN	Dubreka	10.05976539	-13.61612413	11/05/2015
EBOV|EM_COY_2015_016449||GIN|Forecariah|2015-05-11	GIN	Forecariah	9.369944868	-13.10851535	11/05/2015
EBOV|EM_COY_2015_016456||GIN|Dubreka|2015-05-12	GIN	Dubreka	10.07897794	-13.61808128	12/05/2015
EBOV|EM_COY_2015_016483||GIN|Boke|2015-05-13	GIN	Boke	10.954566	-14.28736312	13/05/2015
EBOV|EM_COY_2015_016515||GIN|Dubreka|2015-05-14	GIN	Dubreka	10.0815212	-13.56373189	14/05/2015
EBOV|EM_COY_2015_016531||GIN|Dubreka|2015-05-14	GIN	Dubreka	10.06555425	-13.58645854	14/05/2015
EBOV|EM_COY_2015_016617||GIN|Dubreka|2015-05-16	GIN	Dubreka	10.049212	-13.61827923	16/05/2015
EBOV|EM_COY_2015_016642||GIN|Forecariah|2015-05-17	GIN	Forecariah	9.41857254	-13.02589132	17/05/2015
EBOV|EM_COY_2015_016743||GIN|Boke|2015-05-19	GIN	Boke	11.00783167	-14.24786203	19/05/2015
EBOV|EM_COY_2015_016800||GIN|Dubreka|2015-05-20	GIN	Dubreka	10.04539562	-13.6090466	20/05/2015
EBOV|EM_COY_2015_017018||GIN|Forecariah|2015-05-26	GIN	Forecariah	9.481965154	-13.07129272	26/05/2015
EBOV|EM_COY_2015_017021||GIN|Fria|2015-05-25	GIN	Fria	10.43614652	-13.62890302	25/05/2015
EBOV|EM_COY_2015_017057||GIN|Dubreka|2015-05-27	GIN	Dubreka	10.02246531	-13.69003713	27/05/2015
EBOV|EM_COY_2015_017091||GIN|Boke|2015-05-28	GIN	Boke	10.93949204	-14.21647485	28/05/2015
EBOV|EM_COY_2015_017135||GIN|Dubreka|2015-05-29	GIN	Dubreka	10.07045577	-13.61634482	29/05/2015
EBOV|EM_COY_2015_017174||GIN|Forecariah|2015-05-30	GIN	Forecariah	9.387833537	-13.11182606	30/05/2015
EBOV|EM_COY_2015_017238||GIN|Dubreka|2015-05-31	GIN	Dubreka	10.07390217	-13.5673387	31/05/2015
EBOV|EM_COY_2015_017240||GIN|Dubreka|2015-05-31	GIN	Dubreka	10.09668874	-13.61446256	31/05/2015
EBOV|EM_COY_2015_017574||GIN|Boke|2015-06-10	GIN	Boke	10.93770267	-14.23824387	10/06/2015
EBOV|EM_COY_2015_017664||GIN|Dubreka|2015-06-12	GIN	Dubreka	10.11314456	-13.60018911	12/06/2015
EBOV|EM_COY_2015_017666||GIN|Dubreka|2015-06-12	GIN	Dubreka	10.14799853	-13.59970677	12/06/2015
EBOV|EM_COY_2015_017787||GIN|Dubreka|2015-06-16	GIN	Dubreka	10.04990413	-13.6816963	16/06/2015
EBOV|EM_COY_2015_017788||GIN|Dubreka|2015-06-16	GIN	Dubreka	10.04002991	-13.68438729	16/06/2015
EBOV|EM_COY_2015_017865||GIN|Dubreka|2015-06-18	GIN	Dubreka	10.12468574	-13.68504745	18/06/2015
EBOV|EM_COY_2015_022059||GIN|Forecariah|2015-07-02	GIN	Forecariah	9.488101741	-13.11260129	02/07/2015
EBOV|EM_COY_2015_023747||GIN|Dubreka|2015-09-09	GIN	Dubreka	10.10695038	-13.61402323	09/09/2015
EBOV|EM_FORE_2015_1023||GIN|Forecariah|2015-06-29	GIN	Forecariah	9.496778106	-13.01882247	29/06/2015
EBOV|EM_FORE_2015_1024||GIN|Forecariah|2015-06-29	GIN	Forecariah	9.460671443	-13.09640576	29/06/2015
