# BEAST v1.8.3
# Generated Wed Jul 26 13:02:49 BST 2017 [seed=1501070568031]
# -beagle IVA_PB1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(human)	tmrca(swine)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	human.rate	swine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
34000	-29857.49911491906	-666.7178811676408	-29190.78123375142	119.0683080540495	92.59749616115413	82.21912302787173	66.8182385578638	14.338478258132566	0.3137300186277937	0.20668421622425168	0.21155137027002646	0.268034394877928	0.0020270851962921606	0.0014119245091470532	0.0020259330948010027	0.0019550871668544876	0.13587164035244506	0.984195488350399	-29190.78123375142	0.0	-660.392266596457
35000	-29865.492171597998	-663.4101924993327	-29202.081979098664	116.62432696694853	92.13569868739536	81.68185751147875	85.11752755827897	15.599211459121948	0.3191276948245345	0.2105658162384248	0.2039544355103101	0.26635205342673046	0.0020667990515239867	0.0013274139996549243	0.001945410173976478	0.0019717530617394063	0.15960832724171575	0.9831785811939129	-29202.081979098664	0.0	-656.7478670469488
36000	-29757.262521810502	-667.8369976089401	-29089.42552420156	117.69886959214341	91.83735353660903	82.96008342125141	74.2195516219367	14.690737089020807	0.3197176740024302	0.21308314291478328	0.20797350774410822	0.2592256753386782	0.0019245773463697307	0.0014351544428489694	0.0020080653172177324	0.0018771645637495973	0.11755816934327208	0.9850487192373454	-29089.42552420156	0.0	-661.4941169346456
37000	-29753.931380327136	-665.2874928058911	-29088.643887521244	116.1065259519698	91.83735353660903	82.96008342125141	72.57779182443056	14.114088946528677	0.31466735829804626	0.20921980594360082	0.2153188942763633	0.2607939414819895	0.0019445487128067194	0.0013510862584994155	0.0019044025643583534	0.0018730931287576555	0.13530639770356917	0.9838032689568953	-29088.643887521244	0.0	-659.149619234103
38000	-29756.191216269373	-664.5129131579791	-29091.678303111396	120.2626657293054	92.86002787044605	82.78562809559826	86.67689843881008	14.189997216824887	0.32094399446204996	0.20053291112687213	0.21982861977875676	0.258694474632321	0.0019069599546924804	0.0013322221869377397	0.001967391321682749	0.0018482817946002936	0.13811499597677038	0.9847572904336958	-29091.678303111396	0.0	-658.2037414792765
39000	-29744.640277266906	-665.3562391355892	-29079.284038131318	118.1090897152666	92.86002787044605	81.812135189102	78.29148921835328	15.033025775599793	0.3163365752421591	0.21321808735311482	0.20566654457173078	0.26477879283299516	0.00199260955755337	0.0014721955736851091	0.0021108619302045587	0.0019452565836359642	0.1231182569573373	0.9852679927654262	-29079.284038131318	0.0	-658.7413037908568
40000	-29732.702751128323	-669.4067944261967	-29063.295956702128	119.91883673975559	92.86002787044605	81.812135189102	82.27361377713062	13.681484110939504	0.3144343656088951	0.21121754866788914	0.21807755818745347	0.25627052753576207	0.001890321644713763	0.00142749515473673	0.0020257787132414574	0.0018502248102225055	0.11775183765898412	0.9854839389666337	-29063.295956702128	0.0	-663.1173171089206
41000	-29746.05044398431	-672.4732791733722	-29073.577164810937	116.66328817520689	92.22047340817888	81.35631734589916	86.41048602152789	14.770341646764932	0.310885403026108	0.2150561955677158	0.2174449876654745	0.2566134137407015	0.0018996406959910788	0.0013839539737427278	0.0024313858096638797	0.001886011963718703	0.1788356269298108	0.9860492976645169	-29073.577164810937	0.0	-665.8027444850602
42000	-29721.4434085793	-676.1180101694506	-29045.32539840985	119.24343932426898	92.26610939980843	82.61878870849333	98.99540984230957	15.857485015745866	0.3246259277091768	0.21525743494792413	0.20715541456081024	0.25296122278208866	0.001816112236671541	0.001471294541643086	0.0020503434200758986	0.0017971664854350873	0.10661383471442083	0.9860888327162417	-29045.32539840985	0.0	-669.3742004173336
43000	-29716.81913267901	-678.0455458818091	-29038.7735867972	122.5381277116552	93.20677025132878	82.89439568918048	84.58084466451422	13.89307675611555	0.3246259277091768	0.20601686999691177	0.21564206753555068	0.25371513475836055	0.0018089044073372486	0.0014089231764740763	0.0020672575562244253	0.0017863506606417977	0.12270353814317157	0.9860717356380755	-29038.7735867972	0.0	-671.7391812588063
