state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	doublingTime	R0	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
27500000	-54602.50578434422	-2626.384302428126	-51976.121481916096	0.3445727334929716	2020.65269502607	62.366106631591705	437.0388252898267	29.012205236392997	8.720423657661764	1.5874095356477622	7.213787886839918	0.2931910042394424	0.17945806368921474	0.193947027337136	0.3334039047342058	0.09072138694577364	5.660540791479991E-4	5.660540791480004E-4	-51976.121481916096	0.0	-2611.4486163769866
28000000	-54473.58315781199	-2505.9068249526813	-51967.67633285931	0.3140575307683419	2020.6832102287945	60.776348096547366	805.3871956543194	34.04914608905417	7.430398408308745	1.70514024609888	9.615168260583186	0.2949011014246493	0.17801644606036104	0.19125111693443608	0.3358313355805524	0.0727879845740096	5.489442466200322E-4	5.48944246620031E-4	-51967.67633285931	0.0	-2489.48871613398
28500000	-54503.3757460155	-2532.6289173141986	-51970.7468287013	0.3280016378314091	2020.6692661217314	63.10254548339533	1202.8101132887641	36.39791139630688	6.950913148550897	1.7616691228274481	6.927600172528288	0.29311817833155906	0.1761720010053465	0.1933643950691643	0.33734542559392894	0.0882907030897639	5.387621120550248E-4	5.387621120550253E-4	-51970.7468287013	0.0	-2515.9442075688066
29000000	-54488.04513902125	-2512.4063150426305	-51975.63882397862	0.3100909122015801	2020.6871768473613	64.46599626267508	1942.7522433143886	38.8722589016418	6.508464597967946	1.8223485284945269	8.572616710815629	0.2971870747296825	0.17971548964881937	0.1920311990155119	0.3310662366059853	0.1724487089973428	5.636739508872192E-4	5.636739508872195E-4	-51975.63882397862	0.0	-2493.940234357807
29500000	-54368.43462093094	-2430.6633645629167	-51937.77125636802	0.3202273340614918	2020.6770404255014	57.38576050357921	619.3474855749342	33.656013703516315	7.51719211707913	1.6957801144561633	6.611458811126755	0.29274145651652084	0.17946583372989677	0.19243882262282122	0.33535388713076014	0.04508154027939619	5.953883096195966E-4	5.953883096195959E-4	-51937.77125636802	0.0	-2415.315395590868
30000000	-54613.69261984725	-2640.7065587175543	-51972.9860611297	0.3380509396214156	2020.6592168199415	66.148221902417	714.9313955464814	31.622846370660913	8.000504380247932	1.647835738244178	7.661848716344167	0.297859934978465	0.17792192083260042	0.1884929876083306	0.3357251565806028	0.1165955983609932	5.140023789261598E-4	5.140023789261599E-4	-51972.9860611297	0.0	-2624.9033628785883
30500000	-54478.066613051946	-2537.053378255281	-51941.013234796665	0.32561668561296614	2020.67165107395	61.95276159591824	726.2275815545896	33.218966751210615	7.61609242091071	1.685408541308154	7.895692957875379	0.2937386498112861	0.18124697175035215	0.19375299460552872	0.3312613838328318	0.00953089693183825	5.609632619396923E-4	5.609632619396932E-4	-51941.013234796665	0.0	-2521.293871770527
31000000	-54514.77536594335	-2562.54238210396	-51952.23298383939	0.3061366299256876	2020.6911311296371	62.21983977377322	624.3973240217523	32.140534810125736	7.871640045786478	1.659969781868627	7.313549337555441	0.29379353101945255	0.17954286247945622	0.18858601596681146	0.3380775905342787	0.023745766339843922	5.744142840446208E-4	5.744142840446221E-4	-51952.23298383939	0.0	-2547.1342813979704
31500000	-54516.232762933	-2513.99238180817	-52002.24038112483	0.31512089498257845	2020.6821468645803	61.443492475500584	712.6591249620853	33.5756302380574	7.535189037720886	1.6938698365145868	7.395670110671585	0.2914961274863807	0.17901859920931798	0.19311573460246162	0.33636953870183867	0.05899347515040851	5.553190754526606E-4	5.553190754526587E-4	-52002.24038112483	0.0	-2498.2730553212828
32000000	-54609.616884201976	-2659.3910816525035	-51950.225802549474	0.34085065607256704	2020.6564171034904	65.64659388349004	855.4948530052941	32.98736314993971	7.6695648498610725	1.6799269059024577	8.87951511092789	0.2925930656522023	0.17928471742940338	0.1925461222577375	0.33557609466065574	0.10499072763754282	5.097789251878903E-4	5.097789251878899E-4	-51950.225802549474	0.0	-2643.026154101458
32500000	-54484.7299567658	-2504.2840285680786	-51980.44592819772	0.3224510533770717	2020.6748167061858	60.93032862168331	902.6597847893291	34.99543685344304	7.229477430555025	1.7277899243600057	6.919482804822149	0.2940571522433614	0.17884757205885005	0.18928709995654602	0.3378081757412414	0.07236447365352094	5.547722776932919E-4	5.547722776932932E-4	-51980.44592819772	0.0	-2488.202041360535
33000000	-54430.07027568564	-2459.7944258684574	-51970.27584981718	0.3331701311091334	2020.6640976284536	60.50228771453396	863.093557004722	35.135676456584115	7.200621886901805	1.7311609496275222	8.291271373302568	0.29597970068306756	0.17857571782342302	0.18949723288965256	0.33594734860385544	0.035480522985167934	5.806404707494121E-4	5.806404707494126E-4	-51970.27584981718	0.0	-2443.5420270371224
33500000	-54438.662661688475	-2465.002553722154	-51973.66010796632	0.31244362574976925	2020.6848241338132	59.26615344212543	662.4385976709583	33.41741757609006	7.570863916348789	1.690113531547722	8.084931799356465	0.2945942069620895	0.17838791608370824	0.1933966997861764	0.3336211771680244	0.08144543024554983	5.822907601823234E-4	5.82290760182323E-4	-51973.66010796632	0.0	-2449.172257645018
34000000	-54458.71682765113	-2518.7648790154603	-51939.951948635666	0.3335663132350687	2020.6637014463279	62.62785553327215	1358.8793260904195	37.29590680140289	6.783551939132995	1.7835569560377773	7.122118168260531	0.29464127203116064	0.18169028879539337	0.19033138811603886	0.33333705105740546	0.03383619061012637	5.70188098180526E-4	5.701880981805251E-4	-51939.951948635666	0.0	-2501.8238004795544
34500000	-54364.57046066015	-2375.2078448248676	-51989.362615835285	0.30200935725060457	2020.6952584023122	57.689819323767416	711.0533040215566	35.014424442487446	7.225557036356268	1.7282461235847522	8.296890875866355	0.29535733879029036	0.17567777016074476	0.18890715362054572	0.3400577374284176	0.047254751976048934	5.629814405332398E-4	5.629814405332388E-4	-51989.362615835285	0.0	-2359.2718650708903
35000000	-54507.88845596394	-2537.925544388571	-51969.96291157537	0.3163161288315765	2020.6809516307312	61.32879260145982	710.4525739976282	32.90471092769754	7.688829768488206	1.6779731186099542	7.555345881715498	0.29647465032050835	0.17629643945442514	0.19188378294340755	0.3353451272816572	0.050729068028801304	5.513322042538637E-4	5.513322042538628E-4	-51969.96291157537	0.0	-2522.2025472648224
