lab-id,country,admin1
J0040,SLE,WesternArea
J0004,SLE,WesternRural
J0148,SLE,WesternRural
KT4935,SLE,WesternRural
J0091,SLE,WesternArea
J0108,SLE,WesternRural
J0081,SLE,WesternRural
G5898.1,SLE,Bo
20141280,SLE,Kambia
G5684.1,SLE,Kenema
G5685.1,SLE,Kenema
G5114.1,SLE,Pujehun
J0006,SLE,WesternRural
20140395,SLE,Kono
G5112.1,SLE,Kenema
G4861.1,SLE,?
507,GIN,Conakry
G4200.1,SLE,Kenema
G4466.1,SLE,Bo
509,GIN,Conakry
77591_EMLK,SLE,WesternUrban
J0021,SLE,Bombali
742,GIN,Conakry
20140590,SLE,Kenema
1116,GIN,Dalaba
1104,GIN,Dalaba
G4465.1,SLE,Kenema
573,GIN,Conakry
75722_EMLH,SLE,WesternRural
77549_EMLK,SLE,?
12004_EMLH,SLE,WesternRural
DML12239,SLE,WesternUrban
G5743.1,SLE,Kono
G5529.1,SLE,Kono
J0093,SLE,WesternRural
J0136,SLE,WesternRural
J0080,SLE,PortLoko
480_EMLH,SLE,?
468_EMLH,SLE,?
448_EMLH,SLE,?
442_EMLH,SLE,?
DML25180,SLE,Kono
DML25344,SLE,Kono
611_EMLH,SLE,?
489_EMLH,SLE,WesternRural
402_EMLH,SLE,WesternRural
554_EMLH,SLE,?
KT4695,SLE,WesternRural
793_EMLH,SLE,?
511_EMLH,SLE,WesternUrban
KT4631,SLE,WesternUrban
518_EMLH,SLE,?
KT4609,SLE,?
KT5073,SLE,?
614_EMLH,SLE,WesternRural
651_EMLH,SLE,?
PL3984,SLE,PortLoko
762_EMLH,SLE,?
KT4677,SLE,WesternRural
470_EMLH,SLE,?
443_EMLH,SLE,WesternUrban
389_EMLH,SLE,WesternRural
77574_EMLK,SLE,?
DML25411,SLE,Kono
J0043,SLE,WesternArea
J0169,SLE,WesternUrban
77526_EMLK,SLE,?
77615_EMLK,SLE,WesternUrban
77613_EMLK,SLE,WesternUrban
14687_EMLK,SLE,WesternUrban
PL4346,SLE,Kambia
12855_EMLH,SLE,WesternUrban
12934_EMLH,SLE,WesternUrban
12916_EMLH,SLE,WesternUrban
13031_EMLH,SLE,WesternUrban
DML13828,SLE,WesternUrban
13268_EMLH,SLE,?
18638R_EMLH,SLE,WesternUrban
13275_EMLH,SLE,WesternUrban
18648_EMLH,SLE,WesternUrban
18649_EMLH,SLE,WesternUrban
18659R_EMLH,SLE,WesternUrban
KT7106,SLE,?
18596_EMLH,SLE,WesternUrban
