taxon	HZ
KAT4644|Katwa|2019-05-23	Katwa
KAT5483|Musienene|2019-06-08	Musienene
KAT5497|Unknown|2019-06-08	?
KAT5550|Musienene|2019-06-09	Musienene
KAT5563|Musienene|2019-06-10	Musienene
KAT5596|Musienene|2019-06-10	Musienene
KAT5915|Butembo|2019-06-17	Butembo
KAT7440|Katwa|2019-07-13	Katwa
KAT8302|Katwa|2019-07-25	Katwa
KAT8831|Butembo|2019-08-02	Butembo
KAT8832|Vuhovi|2019-08-02	Vuhovi
KAT8927|Kalunguta|2019-08-03	Kalunguta
KAT9398|Katwa|2019-08-09	Katwa
KAT9448|Butembo|2019-08-10	Butembo
KAT9459|Katwa|2019-08-10	Katwa
KAT9485|Katwa|2019-08-11	Katwa
KAT9580|Katwa|2019-08-12	Katwa
KAT9720|Mutwanga|2019-08-14	Mutwanga
KAT9884|Butembo|2019-08-17	Butembo
KAT10120|Musienene|2019-08-19	Musienene
KAT10130|Butembo|2019-08-20	Butembo
KAT10155|Katwa|2019-08-20	Katwa
KAT10160|Butembo|2019-08-20	Butembo
KAT10179|Butembo|2019-08-20	Butembo
KOM2281|Mambasa|2019-07-19	Mambasa
KOM2346|Komanda|2019-07-25	Komanda
KOM2378|Mambasa|2019-07-27	Mambasa
MAN002|Mandima|2018-08-12	Mandima
MAN003|Mandima|2018-08-12	Mandima
MAN006|Mandima|2018-08-12	Mandima
MAN020|Mandima|2018-08-13	Mandima
MAN025|Mandima|2018-08-13	Mandima
MAN028|Mabalako|2018-08-13	Mabalako
MAN035|Mabalako|2018-08-15	Mabalako
MAN036|Mabalako|2018-08-15	Mabalako
MAN037|Mandima|2018-08-15	Mandima
MAN039|Mabalako|2018-08-15	Mabalako
MAN040|Mabalako|2018-08-15	Mabalako
MAN042|Mabalako|2018-08-15	Mabalako
MAN046|Mabalako|2018-08-15	Mabalako
MAN048|Mandima|2018-08-15	Mandima
MAN059|Mandima|2018-08-16	Mandima
MAN065|Mandima|2018-08-16	Mandima
MAN112|Mabalako|2018-08-21	Mabalako
MAN1038|Mabalako|2018-12-10	Mabalako
MAN1046|Mabalako|2018-12-12	Mabalako
MAN1066|Mabalako|2018-12-14	Mabalako
