# BEAST v1.10.0 Prerelease #VEME2017
# Generated Sun Aug 27 13:41:57 BST 2017 [seed=1503837701188]
# -window -working -options
state	posterior	prior	likelihood	p1.treeModel.rootHeight	p2.treeModel.rootHeight	p1.age(root)	p2.age(root)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	p1.clock.rate	p2.clock.rate	p1.meanRate	p2.meanRate	p1.p1.treeLikelihood	p2.p2.treeLikelihood	p1.branchRates	p2.branchRates	p1.coalescent	p2.coalescent
34000	-14244.49765303379	-860.4794515956436	-13384.018201438146	193.38717046880683	164.158573582483	1815.6128295311933	1844.841426417517	186.42492021019643	9.312089480390618	0.22272796919162333	0.2562129619241729	0.22571343573975242	0.2953456331444517	0.001117519838341869	0.00105676029381965	0.0011175198383418688	0.0010567602938196502	-6682.290302626233	-6701.727898811913	0.0	0.0	-424.2844982492731	-438.3685983652877
35000	-14168.374758487646	-865.7032407629393	-13302.671517724706	180.46788656082003	174.8176282644984	1828.53211343918	1834.1823717355016	208.0938971734717	10.35942068208053	0.22272796919162333	0.2553941124878996	0.22177112766750934	0.30010679065296814	0.001018344935648105	0.0010195477582160214	0.001018344935648105	0.001019547758216021	-6676.600521887153	-6626.070995837554	0.0	0.0	-429.0000271254615	-438.8409073488882
36000	-14080.071448194118	-869.2213744036874	-13210.85007379043	185.11941723212527	205.80754298624757	1823.8805827678748	1803.1924570137523	200.2029365230294	10.708624523031354	0.22456774435277724	0.2620311276042471	0.21708968853205493	0.2963114395109211	0.001032019841956496	9.292808024459433E-4	0.0010320198419564962	9.292808024459436E-4	-6648.82107278809	-6562.029001002341	0.0	0.0	-430.0347025699748	-441.3800298576758
37000	-13909.317630014328	-872.738155606087	-13036.579474408241	203.51612712603577	207.14182602843036	1805.4838728739642	1801.8581739715696	203.57621723496268	10.618269051565058	0.22456774435277724	0.2620311276042471	0.21708968853205493	0.2963114395109211	9.386241139769327E-4	9.192856267413458E-4	9.386241139769328E-4	9.192856267413457E-4	-6500.061270420969	-6536.518203987273	0.0	0.0	-430.2750737040115	-444.82844743052345
38000	-13745.519649359458	-879.8155541221005	-12865.704095237357	215.242902259094	204.74977796407535	1793.757097740906	1804.2502220359247	225.16437610744518	10.714477955805997	0.22982878746537477	0.2620311276042471	0.22251865335576496	0.28562143157461356	9.770849518325572E-4	8.591511200486478E-4	9.77084951832557E-4	8.591511200486475E-4	-6440.402203212873	-6425.301892024484	0.0	0.0	-433.5436984699385	-448.5167313526409
39000	-13643.762221036592	-881.1433666195182	-12762.618854417073	218.18306850120027	215.75413455235474	1790.8169314987997	1793.2458654476452	191.06688635253138	9.048410134040754	0.22933353402624	0.2528780248209587	0.23057288136445178	0.28721555978834995	9.228322389068E-4	8.080027144311391E-4	9.228322389068002E-4	8.080027144311388E-4	-6386.499690825728	-6376.119163591344	0.0	0.0	-435.0078659231552	-449.05472108499833
40000	-13607.189327468408	-888.6447908518318	-12718.544536616577	239.37659133052912	225.46756708393195	1769.6234086694708	1783.532432916068	204.4833048578143	10.235965669419889	0.22118308745029205	0.2572531709449428	0.23434818181641565	0.28721555978834995	8.971267420478997E-4	8.56709942092282E-4	8.971267420478998E-4	8.567099420922818E-4	-6357.116720262891	-6361.427816353686	0.0	0.0	-438.8122874810077	-452.30261605666027
41000	-13590.15353608281	-897.9999291118621	-12692.153606970947	256.86655436974786	231.8276948573802	1752.133445630252	1777.1723051426197	217.43534035831823	10.751541918450718	0.23041471902441413	0.2676376139059	0.2241931190672844	0.2777545480024019	7.900606817088666E-4	7.662290923917884E-4	7.900606817088671E-4	7.662290923917884E-4	-6343.251886986021	-6348.901719984927	0.0	0.0	-450.6507545274373	-450.0777261448273
42000	-13560.874942351189	-900.092225000757	-12660.782717350432	225.55564097539846	234.31215740510737	1783.4443590246015	1774.6878425948926	226.3453714258994	11.158074881276992	0.22099592617243494	0.26577696351783403	0.2288699270675161	0.2843571832422153	7.764648154551206E-4	8.071543305741244E-4	7.764648154551207E-4	8.071543305741244E-4	-6331.771271415408	-6329.011445935024	0.0	0.0	-451.35686250877154	-451.2800078979023
43000	-13563.776995212715	-908.3055870494088	-12655.471408163306	258.46849803907367	266.6179676599418	1750.5315019609263	1742.3820323400582	221.7284125197332	10.406660911207485	0.22597112797621738	0.2697823405245514	0.22254208680795887	0.28170444469127276	6.856396256906216E-4	7.398902006892979E-4	6.856396256906221E-4	7.398902006892979E-4	-6330.323034333816	-6325.14837382949	0.0	0.0	-453.64609156693007	-457.64040189808134
44000	-13547.646480774403	-910.669437142797	-12636.977043631607	257.06959160594863	269.4252614531745	1751.9304083940515	1739.5747385468255	232.58746756147085	9.821637551059386	0.21995470207361553	0.2697823405245514	0.23093617579012238	0.2793267816117111	7.422668385138227E-4	7.391023712683744E-4	7.422668385138228E-4	7.391023712683744E-4	-6325.983170873912	-6310.993872757695	0.0	0.0	-456.21290444122724	-457.34494151030987
45000	-13549.027248547056	-915.490478860575	-12633.536769686481	271.31755289867397	241.37873630305637	1737.682447101326	1767.6212636969435	220.35669560714072	9.55914002545681	0.22986847392994766	0.26721077178816993	0.2235939726701717	0.2793267816117111	7.264573734094409E-4	7.309015394472506E-4	7.264573734094405E-4	7.309015394472506E-4	-6322.425714943177	-6311.111054743305	0.0	0.0	-459.1982827341071	-459.33560197382116
46000	-13546.660896701416	-921.3305328734002	-12625.330363828016	249.8497990161298	262.23455374102576	1759.1502009838703	1746.7654462589742	288.359337788997	10.50719701350128	0.22739751898340124	0.26298865703957647	0.23400152580926323	0.27561229816775945	7.516313091372745E-4	7.109363887773689E-4	7.516313091372742E-4	7.109363887773691E-4	-6321.934536885724	-6303.395826942291	0.0	0.0	-456.0526284578621	-467.7905031109763
47000	-13548.660478550004	-923.4625116979407	-12625.197966852063	255.79760203794612	272.20962414642486	1753.202397962054	1736.7903758535751	284.8051937292461	11.617805404235083	0.22307589694491842	0.26298865703957647	0.2286693069256099	0.2852661390898956	6.828548361556974E-4	6.897302015596487E-4	6.828548361556976E-4	6.897302015596484E-4	-6313.394510736093	-6311.80345611597	0.0	0.0	-460.81248815162945	-465.18383854568464
48000	-13535.100976505837	-935.7324489432474	-12599.36852756259	266.27336810557443	311.2611102195711	1742.7266318944255	1697.738889780429	272.40563322527225	11.617805404235083	0.22580684947708896	0.25110588640365566	0.23769122646619723	0.2853960376530586	7.079362300328614E-4	6.038679167848587E-4	7.079362300328614E-4	6.038679167848584E-4	-6300.12056595181	-6299.24796161078	0.0	0.0	-467.8936512129225	-470.47706591214876
49000	-13535.536202794277	-939.3683526207863	-12596.167850173491	302.60829941718794	317.8376680225418	1706.391700582812	1691.1623319774583	299.12015512829936	10.505096239082821	0.21671399274756373	0.25110588640365566	0.23689492571659562	0.2952851951321855	6.390451160044261E-4	6.081319185489966E-4	6.390451160044264E-4	6.081319185489969E-4	-6298.674114291783	-6297.493735881709	0.0	0.0	-471.7189681336747	-470.5339131820213
50000	-13531.88041998639	-943.3457929668942	-12588.534627019495	304.2861818670865	315.70330117170573	1704.7138181329135	1693.2966988282942	334.9333762365408	10.505096239082821	0.22306310855741776	0.25110588640365566	0.23360557675585417	0.2922254282830729	6.390451160044261E-4	6.214065084695359E-4	6.390451160044263E-4	6.214065084695354E-4	-6297.276626839583	-6291.258000179912	0.0	0.0	-474.6599075707035	-471.36455980261826
51000	-13538.9627087259	-940.8175621886012	-12598.1451465373	310.05692116655416	311.91087144279766	1698.9430788334457	1697.0891285572025	313.5574368962849	9.73146256982533	0.23030437403589776	0.25440125272841935	0.2303102104310905	0.28498416280459293	6.010494190906391E-4	6.002761425644366E-4	6.010494190906395E-4	6.002761425644364E-4	-6309.152181416201	-6288.992965121099	0.0	0.0	-471.2002040436469	-472.6996406054272
52000	-13342.032043226316	-960.738090553087	-12381.29395267323	323.9800381056968	332.3637687265769	1685.0199618943032	1676.6362312734232	343.82972601813844	10.71533846992659	0.2279341114231166	0.26256816243261644	0.21345146170502957	0.2960462644392379	5.607401668133365E-4	5.250008583992827E-4	5.607401668133366E-4	5.250008583992828E-4	-6100.906739865941	-6280.387212807289	0.0	0.0	-483.06912998932273	-480.74575151788235
53000	-13330.881807700263	-964.6255230787815	-12366.256284621482	330.42778401243305	341.19365547482533	1678.572215987567	1667.8063445251746	380.3318487050837	10.741962340500665	0.2279341114231166	0.26256816243261644	0.21345146170502957	0.2960462644392379	4.9930914225391E-4	5.774619879966976E-4	4.993091422539096E-4	5.774619879966978E-4	-6089.633603999488	-6276.622680621995	0.0	0.0	-487.39307854963135	-480.1837675050475
54000	-13324.669310555042	-965.6738723703108	-12358.995438184731	331.88278777831295	321.13855061698945	1677.1172122216872	1687.8614493830105	348.09516092454896	10.741962340500665	0.2279341114231166	0.2555855882490243	0.21345146170502957	0.3030288386228301	5.166945227467964E-4	5.488249424820112E-4	5.166945227467962E-4	5.488249424820114E-4	-6082.261687576526	-6276.733750608204	0.0	0.0	-488.2728727475321	-480.49226953545775
55000	-13336.749492179635	-969.1013629502563	-12367.64812922938	357.82976418579426	329.125121912794	1651.1702358142056	1679.874878087206	369.00021601875994	9.126715704610511	0.22208756816085817	0.2633882311156379	0.23093565452106105	0.28358854620244334	5.137984201536467E-4	5.613350324245465E-4	5.13798420153647E-4	5.613350324245465E-4	-6083.278353675156	-6284.3697755542225	0.0	0.0	-493.91713614480295	-478.4340465647002
56000	-13317.40650599946	-973.3429497880995	-12344.06355621136	354.09158974564934	315.96290857953966	1654.9084102543507	1693.0370914204605	407.42004729139944	10.145397141254872	0.22208756816085817	0.25629717533933666	0.23241405269829335	0.28920120380151226	5.037578682399881E-4	5.53761781419224E-4	5.03757868239988E-4	5.537617814192239E-4	-6075.346512475301	-6268.71704373606	0.0	0.0	-492.02871339620884	-484.330878329462
57000	-13289.793142441584	-980.3387191799994	-12309.454423261584	354.1569774389912	323.88802330405883	1654.8430225610089	1685.1119766959412	480.3386880789827	12.063962297329855	0.2037300420562544	0.28283517674129244	0.23337250955390862	0.2800622716485451	4.813104844829591E-4	5.336794045180436E-4	4.813104844829593E-4	5.33679404518044E-4	-6069.399695355397	-6240.054727906187	0.0	0.0	-492.8692471182425	-490.11149402776596
58000	-13281.614792482613	-976.2751516596363	-12305.339640822976	382.56831450991206	322.47014230457927	1626.431685490088	1686.5298576954208	396.85860936973313	10.74975505196497	0.20983401228827014	0.28283517674129244	0.23337250955390862	0.2739583014165293	4.5855649952235853E-4	5.371611557254257E-4	4.585564995223583E-4	5.371611557254256E-4	-6063.238738258256	-6242.100902564721	0.0	0.0	-493.2246448722615	-486.1853950975505
