# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:38 CEST 2017 [seed=1502886874084]
# -beagle_SSE batRABV_6Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6
53550000	-0.5566278320720622	-2.2736472986852942	-0.6328486968629954	-0.24530498492162356	-0.12020180324369469	1.9306868106601396	1.0	0.0	0.0	0.0	0.0	0.0	-0.5566278320720622	-0.0	-0.0	-0.0	-0.0	0.0
53600000	-0.594311575501429	-1.1613499546408526	2.14592145033796	-2.903419167705452	-0.6978806924603307	-0.44829978604828	1.0	0.0	0.0	0.0	0.0	0.0	-0.594311575501429	-0.0	0.0	-0.0	-0.0	-0.0
53650000	-0.6424307761010813	-2.6045593773502786	0.46746126300133284	-0.09012841470824176	-0.8492886257629394	-0.5431889732051747	1.0	0.0	0.0	0.0	0.0	0.0	-0.6424307761010813	-0.0	0.0	-0.0	-0.0	-0.0
53700000	-0.5393215370405056	3.3126350358452923	-2.5452503646382323	-0.19127966279204908	-6.021404489799529	1.093321265550987	1.0	0.0	0.0	0.0	0.0	0.0	-0.5393215370405056	0.0	-0.0	-0.0	-0.0	0.0
53750000	-0.49883231832697245	0.2311914835512129	0.32246533714633535	-2.7159518688940225	0.31142351097100834	-1.6019945889826777	1.0	0.0	1.0	0.0	0.0	0.0	-0.49883231832697245	0.0	0.32246533714633535	-0.0	0.0	-0.0
53800000	-0.6643016008642888	-5.322189946262245	0.21222481198115734	-0.06744156847794197	-0.1979070561847988	-1.6047090462604516	1.0	0.0	0.0	0.0	0.0	0.0	-0.6643016008642888	-0.0	0.0	-0.0	-0.0	-0.0
53850000	-0.626448640591133	0.1815147553123776	4.305982400462591	4.484339359309795	-0.46851418374222475	-1.138629700780281	1.0	0.0	0.0	0.0	0.0	0.0	-0.626448640591133	0.0	0.0	0.0	-0.0	-0.0
53900000	-0.6132713070946987	0.4068084299131278	1.0756032242372897	0.1270580373436705	1.5557570072735543	1.348730976297661	1.0	1.0	0.0	0.0	0.0	0.0	-0.6132713070946987	0.4068084299131278	0.0	0.0	0.0	0.0
53950000	-0.6133657911194629	-2.462465721095369	-5.095450464794965	2.7879398782776725	-1.5813542997045658	1.4434055443717524	1.0	0.0	0.0	0.0	0.0	0.0	-0.6133657911194629	-0.0	-0.0	0.0	-0.0	0.0
54000000	-0.6482920735082187	-0.26482412700627167	0.7638443015955059	0.40087261120931594	2.4902704869085426	-3.1681487294937978	1.0	0.0	0.0	0.0	0.0	0.0	-0.6482920735082187	-0.0	0.0	0.0	0.0	-0.0
54050000	-0.5612934013172892	0.8046579498032207	0.15224373544076505	-0.6817766303851137	2.7164590226092913	0.5096025419750697	1.0	1.0	0.0	0.0	0.0	0.0	-0.5612934013172892	0.8046579498032207	0.0	-0.0	0.0	0.0
54100000	-0.5507378669212594	0.7444033114745227	2.292958638096839	-1.8988123561703922	-3.1662127617714884	-1.1980323868756084	1.0	0.0	0.0	0.0	0.0	0.0	-0.5507378669212594	0.0	0.0	-0.0	-0.0	-0.0
54150000	-0.7356606668442167	0.8131560011462845	-2.140993989187276	-1.718392438451016	-2.343448242593457	-3.3342222901259797	1.0	1.0	0.0	0.0	0.0	0.0	-0.7356606668442167	0.8131560011462845	-0.0	-0.0	-0.0	-0.0
54200000	-0.7389370592667422	0.5892008564360888	-1.6205015647119996	-0.052294808827578525	2.6370668852143124	-0.10860195857891364	1.0	1.0	0.0	0.0	0.0	0.0	-0.7389370592667422	0.5892008564360888	-0.0	-0.0	0.0	-0.0
54250000	-0.5571223321215878	0.6484178419472327	-0.6131568843362984	-1.729527873024994	0.2013724904276573	0.2590758737094942	1.0	1.0	0.0	0.0	0.0	0.0	-0.5571223321215878	0.6484178419472327	-0.0	-0.0	0.0	0.0
54300000	-0.5725217797960113	0.8318223051904494	-0.7723717990572448	-4.321040440904323	0.7509728421783038	-2.680906171469882	1.0	1.0	1.0	0.0	0.0	0.0	-0.5725217797960113	0.8318223051904494	-0.7723717990572448	-0.0	0.0	-0.0
54350000	-0.48380229849991563	-2.119172880422234	-0.5024139467304756	0.34462994107759426	2.221480304025987	3.938322652547659	1.0	0.0	0.0	0.0	0.0	0.0	-0.48380229849991563	-0.0	-0.0	0.0	0.0	0.0
54400000	-0.6755904241259386	0.692474962600027	1.8479692500540574	1.998266657021815	2.196499652761435	3.8614247006889313	1.0	1.0	0.0	0.0	0.0	0.0	-0.6755904241259386	0.692474962600027	0.0	0.0	0.0	0.0
