# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:49 CEST 2017 [seed=1502886884603]
# -beagle_SSE batRABV_8Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefficients7	host.coefficients8	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefIndicators7	host.coefIndicators8	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6	host.coefficientsTimesIndicators7	host.coefficientsTimesIndicators8
1000000	-0.5815697994080353	1.4768926622610663	0.958878182961246	-0.21250758040575166	-0.9547958415142532	-0.5416310882595006	0.7254351162565817	0.2075054014152843	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5815697994080353	0.0	0.0	-0.0	-0.0	-0.0	0.7254351162565817	0.2075054014152843
1050000	-0.7719228433775104	1.1340276118097585	-1.7044595756634207	-2.0063605524583576	3.090588534742846	1.201602920761921	0.6845145157854652	-0.10405200378927361	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7719228433775104	1.1340276118097585	-0.0	-0.0	0.0	0.0	0.6845145157854652	-0.0
1100000	-0.6732365242773705	-0.4669505693515942	1.7165741354255688	-2.3085315510730937	3.30756841807457	-0.004372387747375927	0.7460623128503148	0.6909340935715935	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6732365242773705	-0.0	0.0	-0.0	0.0	-0.0	0.7460623128503148	0.6909340935715935
1150000	-0.8728867581308336	0.875691740330284	-0.7014301148393302	3.409430247694235	-0.4237275640798298	-0.2642823548920534	0.6544373190038967	0.5449677145912684	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.8728867581308336	0.875691740330284	-0.0	0.0	-0.0	-0.0	0.6544373190038967	0.0
1200000	-0.6449330781494703	-1.227266433126404	-2.609882379248366	-0.40773795484517966	-0.9996521318089663	-2.885991541597262	0.6238295066591275	0.5862990501686879	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6449330781494703	-0.0	-0.0	-0.0	-0.0	-0.0	0.6238295066591275	0.5862990501686879
1250000	-0.598464168412892	-0.8020593888934507	0.5846262327379345	-3.39968694155063	-0.7693151209988762	3.9630890037917474	0.513156920976136	0.49486879731169525	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.598464168412892	-0.0	0.0	-0.0	-0.0	0.0	0.513156920976136	0.49486879731169525
1300000	-0.6692004077172048	0.6688762052615466	0.0803137237332797	2.4769467462612718	0.6860601232468637	1.3435163109353674	0.2571285490225391	2.9734181107996918	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6692004077172048	0.6688762052615466	0.0	0.0	0.0	0.0	0.2571285490225391	0.0
1350000	-0.7915186852443424	0.5614988281356466	2.4996738543165615	-1.6084767103603168	-2.948082210289185	3.002027266002112	0.6291108793544771	0.3027152229194334	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7915186852443424	0.5614988281356466	0.0	-0.0	-0.0	0.0	0.6291108793544771	0.0
1400000	-0.7306608547223877	-2.3293650972242856	4.847603643965487	-1.340241558970211	3.8562071352815077	2.158676679630943	0.5559901041993563	2.641972243762107	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7306608547223877	-0.0	0.0	-0.0	0.0	0.0	0.5559901041993563	0.0
1450000	-0.5890287519188562	1.4439160191232772	0.9363583222401262	-0.8081860177465074	4.479278958455699	2.501826680701491	0.007257140820634023	2.238016122894914	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5890287519188562	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
1500000	-0.5212388194211541	1.8534665727881487	-1.0048967526508295	-2.366693065778048	-2.0774410139439023	-0.725541238560599	0.6489180251931133	0.5097875756645465	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5212388194211541	0.0	-0.0	-0.0	-0.0	-0.0	0.6489180251931133	0.5097875756645465
1550000	-0.9303850533493957	-0.6458676386980785	0.1521148742347233	0.3400868665517288	-1.2696789641704342	-1.3358511932038555	1.1581743410751546	0.4368784389353026	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.9303850533493957	-0.0	0.0	0.3400868665517288	-0.0	-0.0	1.1581743410751546	0.4368784389353026
1600000	-0.8736821413124284	1.299936653215512	-0.3507285376378033	0.7290600626031716	1.5182614484949293	1.1401853706047338	0.6100220602320225	2.2537997392948563	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.8736821413124284	1.299936653215512	-0.0	0.0	0.0	0.0	0.6100220602320225	0.0
1650000	-0.5776166818116616	1.0780319658685602	2.882188134384066	-2.4447092584422188	1.3750975505813168	1.0705789710373548	0.547455593949249	0.6705264930073744	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5776166818116616	0.0	0.0	-0.0	0.0	0.0	0.547455593949249	0.6705264930073744
1700000	-0.7652123162845677	0.6335566662151546	-4.094321362172337	-2.14192730878969	0.44434902320744957	-3.2896089262808967	0.5860501337449653	-0.8338546919283217	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7652123162845677	0.6335566662151546	-0.0	-0.0	0.0	-0.0	0.5860501337449653	-0.0
1750000	-0.8112207576447382	1.3090715579344299	1.3942176124055141	-0.8833118285439383	1.608098563410942	0.9922443393422442	0.6538872502190456	2.246421630184024	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.8112207576447382	1.3090715579344299	0.0	-0.0	0.0	0.0	0.6538872502190456	0.0
1800000	-0.6541274514667591	0.8255113838508281	-1.1379296772224423	-1.2096694525722422	0.17504392617494613	-1.3857122348742112	0.5791790998933878	-0.4491263391317354	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6541274514667591	0.8255113838508281	-0.0	-0.0	0.0	-0.0	0.5791790998933878	-0.0
1850000	-0.6550360897566235	0.8698141534673792	1.2762586687788844	2.3593728048718803	1.3058887095225833	-0.4600436267615566	0.5451797327990244	-1.6747971975503844	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6550360897566235	0.8698141534673792	0.0	0.0	0.0	-0.0	0.5451797327990244	-0.0
1900000	-0.8108616407153052	0.8239798684918522	-4.632051658154103	1.3891077301805344	3.102187049462183	-1.0492144146707727	0.6486368293555828	1.4256502466790582	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.8108616407153052	0.8239798684918522	-0.0	0.0	0.0	-0.0	0.6486368293555828	0.0
1950000	-0.7304829002435259	0.6502856659883812	-0.6217168629452795	1.1879545712237398	1.411517203304371	4.416968690763069	0.5106451065173879	0.6252052197647371	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7304829002435259	0.6502856659883812	-0.0	0.0	0.0	0.0	0.5106451065173879	0.0
2000000	-0.7112195752793672	0.6872526621197015	-3.891575008573693	2.342203329109176	-0.22285023498407447	1.3125256097434805	0.8085262719734475	-0.5360554464578048	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7112195752793672	0.6872526621197015	-0.0	0.0	-0.0	0.0	0.8085262719734475	-0.0
2050000	-0.6693941545584029	0.5217732378735402	-1.296638996528371	0.09408225934627532	-2.3743252668022636	-2.3275978320591664	0.42351950431909263	-1.6731328244480146	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6693941545584029	0.5217732378735402	-0.0	0.0	-0.0	-0.0	0.42351950431909263	-0.0
2100000	-0.4575645254979902	3.912257573516793	-0.5231837994143835	-2.220322433468859	-4.472169261198596	1.5725561177343454	0.7110050034155003	0.5932006342216416	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.4575645254979902	0.0	-0.0	-0.0	-0.0	0.0	0.7110050034155003	0.5932006342216416
2150000	-0.5777613264336267	0.710499791437171	-0.5763159155777023	1.5443376235998214	2.219154502168583	0.21450319024197642	0.47583186168249	-1.123497718452811	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.5777613264336267	0.710499791437171	-0.0	0.0	0.0	0.0	0.47583186168249	-0.0
2200000	-0.58760658979067	0.8685511606820766	3.2690400064624945	-0.32920292267198503	-0.032091024301610135	1.7634544057573884	3.2261578145048486	0.5085670899575139	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.58760658979067	0.0	0.0	-0.0	-0.0	0.0	0.0	0.5085670899575139
2250000	-0.6481994061390607	0.581643923322792	0.16376713925626185	0.3293956894698276	-2.699340025721149	1.8217380092195863	0.606359486969957	0.4749349018802633	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6481994061390607	0.581643923322792	0.0	0.0	-0.0	0.0	0.606359486969957	0.0
2300000	-0.6321384645920355	-0.5884403170090412	1.0592414177819438	4.125755977338603	-0.8641579613008169	-2.9838784913539746	0.7831592302879675	0.38833779769844146	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6321384645920355	-0.0	0.0	0.0	-0.0	-0.0	0.7831592302879675	0.38833779769844146
